"api_version","results__corporate_grouping__name","results__corporate_grouping__wikipedia_id","results__corporate_grouping__companies_count","results__corporate_grouping__created_at","results__corporate_grouping__updated_at","results__corporate_grouping__curators__user__name","results__corporate_grouping__curators__user__opencorporates_url","results__corporate_grouping__memberships__membership__source__publisher","results__corporate_grouping__memberships__membership__source__retrieved_at","results__corporate_grouping__memberships__membership__source__url","results__corporate_grouping__memberships__membership__source__source_type","results__corporate_grouping__memberships__membership__company__name","results__corporate_grouping__memberships__membership__company__jurisdiction_code","results__corporate_grouping__memberships__membership__company__company_number","results__corporate_grouping__memberships__membership__company__opencorporates_url","results__corporate_grouping__memberships__membership__company__inactive"
"","","","","","","","","Ben Parker","2016-12-12T11:13:28+00:00","https://opencorporates.com/users/23275","user","THCR-TCHI MERGER CORP.","us_de","2653506","https://opencorporates.com/companies/us_de/2653506","null"
"","","","","","","","","Ben Parker","2016-12-12T11:14:04+00:00","https://opencorporates.com/users/23275","user","TRUMP MARINA ASSOCIATES, L.P.","us_nj","0600031466","https://opencorporates.com/companies/us_nj/0600031466","null"
"","","","","","","","","Ben Parker","2016-12-12T11:14:34+00:00","https://opencorporates.com/users/23275","user","LAMINGTON FARM CLUB, LLC","us_nj","0600086702","https://opencorporates.com/companies/us_nj/0600086702","null"
"","","","","","","","","Ben Parker","2016-12-12T11:14:53+00:00","https://opencorporates.com/users/23275","user","LAMINGTON FARM CLUB, LLC","us_de","3172894","https://opencorporates.com/companies/us_de/3172894","null"
"","","","","","","","","Ben Parker","2016-12-12T11:15:42+00:00","https://opencorporates.com/users/23275","user","220 PROSPECT STREET CO., L.P.","us_nj","0600228149","https://opencorporates.com/companies/us_nj/0600228149","null"
"","","","","","","","","Ben Parker","2016-12-12T11:16:26+00:00","https://opencorporates.com/users/23275","user","TRUMP BOARDWALK LLC","us_nj","0600242268","https://opencorporates.com/companies/us_nj/0600242268","null"
"","","","","","","","","Ben Parker","2016-12-12T11:16:38+00:00","https://opencorporates.com/users/23275","user","TRUMP BOARDWALK LLC","us_de","3997817","https://opencorporates.com/companies/us_de/3997817","null"
"","","","","","","","","Ben Parker","2016-12-12T11:17:12+00:00","https://opencorporates.com/users/23275","user","TRUMP BOARDWALK DEVELOPMENT LLC","us_nj","0600247164","https://opencorporates.com/companies/us_nj/0600247164","null"
"","","","","","","","","Ben Parker","2016-12-12T11:17:21+00:00","https://opencorporates.com/users/23275","user","TRUMP BOARDWALK DEVELOPMENT LLC","us_nj","0600247164","https://opencorporates.com/companies/us_nj/0600247164","null"
"","","","","","","","","Ben Parker","2016-12-12T11:17:32+00:00","https://opencorporates.com/users/23275","user","TRUMP BOARDWALK DEVELOPMENT LLC","us_de","4023138","https://opencorporates.com/companies/us_de/4023138","null"
"","","","","","","","","Ben Parker","2016-12-12T11:24:23+00:00","https://opencorporates.com/users/23275","user","MEADOWLANDS DEVELOPMENT VENTURE I LLC","us_nj","0600313026","https://opencorporates.com/companies/us_nj/0600313026","null"
"","","","","","","","","Ben Parker","2016-12-12T11:24:40+00:00","https://opencorporates.com/users/23275","user","MEADOWLANDS DEVELOPMENT VENTURE I LLC","us_de","4449514","https://opencorporates.com/companies/us_de/4449514","null"
"","","","","","","","","Ben Parker","2016-12-12T11:25:51+00:00","https://opencorporates.com/users/23275","user","TRUMP ICE LLC","us_nj","0600327266","https://opencorporates.com/companies/us_nj/0600327266","null"
"","","","","","","","","Ben Parker","2016-12-12T11:26:18+00:00","https://opencorporates.com/users/23275","user","TRUMP NATIONAL GOLF CLUB COLTS NECK LLC","us_nj","0600329217","https://opencorporates.com/companies/us_nj/0600329217","null"
"","","","","","","","","Ben Parker","2016-12-12T11:26:48+00:00","https://opencorporates.com/users/23275","user","TRUMP NATIONAL GOLF CLUB COLTS NECK MEMBER CORP","us_nj","0100994777","https://opencorporates.com/companies/us_nj/0100994777","null"
"","","","","","","","","Ben Parker","2016-12-12T11:27:14+00:00","https://opencorporates.com/users/23275","user","TRUMP PROCIDA FORT LEE LLC","us_nj","0600337667","https://opencorporates.com/companies/us_nj/0600337667","null"
"","","","","","","","","Ben Parker","2016-12-12T11:27:28+00:00","https://opencorporates.com/users/23275","user","TRUMP PROCIDA FORT LEE LLC","us_de","4632265","https://opencorporates.com/companies/us_de/4632265","null"
"","","","","","","","","Ben Parker","2016-12-12T11:27:53+00:00","https://opencorporates.com/users/23275","user","TRUMP FORT LEE MEMBER CORP","us_nj","0100998097","https://opencorporates.com/companies/us_nj/0100998097","null"
